
Image Name                     PID Session Name        Session#    Mem Usage
ctfmon.exe                   16572 Console                   16     20,056 K
uihost.exe                    9120 Console                   16     14,304 K
FnHotkeyCapsLKNumLK.exe       4336 Console                   16      2,804 K
FnHotkeyUtility.exe           9288 Console                   16     10,120 K
unsecapp.exe                 13260 Console                   16      2,908 K
NahimicSvc32.exe             14176 Console                   16      7,200 K
TaskbarX.exe                 16092 Console                   16      2,140 K
RadeonSoftware.exe           10192 Console                   16     23,180 K
cncmd.exe                     8784 Console                   16      2,100 K
AMDRSServ.exe                15332 Console                   16     10,020 K
UniKeyNT.exe                 21680 Console                   16      4,920 K
TextInputHost.exe            19752 Console                   16     36,988 K
chrome.exe                    2436 Console                   16    185,040 K
chrome.exe                   15872 Console                   16      5,328 K
chrome.exe                   14616 Console                   16    273,908 K
chrome.exe                   11508 Console                   16     52,844 K
chrome.exe                    9588 Console                   16     16,664 K
nahimicNotifSys.exe          14120 Console                   16     15,020 K
svchost.exe                   9988 Console                   16      8,200 K
ShellExperienceHost.exe      14060 Console                   16      7,880 K
RuntimeBroker.exe             9760 Console                   16     13,216 K
WidgetService.exe            12720 Console                   16      8,504 K
AMDRSSrcExt.exe               7856 Console                   16     10,016 K
LenovoVantageService.exe     17716 Services                   0     17,304 K
LenovoVantage-(VantageCor    11476 Services                   0      5,348 K
LenovoVantage-(LenovoGami    13628 Services                   0     11,448 K
LenovoVantage-(GenericMes    10788 Console                   16      5,536 K
LenovoVantage-(SmartDispl    20864 Console                   16      6,440 K
LenovoVantage-(DeviceSett     8924 Console                   16      3,976 K
chrome.exe                   11360 Console                   16     15,348 K
dllhost.exe                   9680 Console                   16      6,700 K
svchost.exe                  10444 Console                   16      9,184 K
UserOOBEBroker.exe           20460 Console                   16      6,084 K
DataExchangeHost.exe         18568 Console                   16     15,860 K
SystemSettingsBroker.exe     21940 Console                   16      9,564 K
svchost.exe                   9856 Console                   16      5,268 K
Microsoft.SharePoint.exe     20252 Console                   16      3,568 K
chrome.exe                    6576 Console                   16     22,144 K
OfficeClickToRun.exe         15324 Services                   0     17,184 K
AppVShNotify.exe             13432 Console                   16      8,040 K
SearchIndexer.exe            18940 Services                   0     25,660 K
dllhost.exe                  10664 Console                   16      5,852 K
Garena.exe                    6896 Console                   16     24,868 K
gxxcef.exe                    5488 Console                   16      4,568 K
svchost.exe                   6360 Services                   0      6,964 K
audiodg.exe                  10352 Services                   0     20,632 K
chrome.exe                    9256 Console                   16    323,980 K
svchost.exe                  20236 Services                   0      5,472 K
SearchHost.exe               12824 Console                   16     45,308 K
svchost.exe                  16216 Services                   0     15,156 K
Lenovo.Modern.ImControlle    13128 Console                   16     23,252 K
Code.exe                     18072 Console                   16     60,632 K
Code.exe                     22032 Console                   16     11,184 K
Code.exe                      5412 Console                   16     52,556 K
Code.exe                     22088 Console                   16     18,648 K
Code.exe                     21588 Console                   16    207,592 K
Code.exe                     12008 Console                   16     23,640 K
Code.exe                      9908 Console                   16     75,272 K
Code.exe                      7388 Console                   16     36,500 K
Code.exe                     12112 Console                   16     17,180 K
conhost.exe                  17976 Console                   16      6,972 K
powershell.exe               19052 Console                   16     13,120 K
java.exe                     17912 Console                   16    527,056 K
Code.exe                      1764 Console                   16     23,796 K
conhost.exe                   6304 Console                   16      7,348 K
powershell.exe                3668 Console                   16     35,340 K
chrome.exe                   19704 Console                   16     70,280 K
chrome.exe                   19912 Console                   16     69,144 K
chrome.exe                    6324 Console                   16     28,904 K
chrome.exe                   21032 Console                   16    274,756 K
Code.exe                     21228 Console                   16     43,856 K
msedge.exe                   15056 Console                   16    132,124 K
msedge.exe                   15700 Console                   16      8,420 K
msedge.exe                   19004 Console                   16     40,816 K
msedge.exe                   12836 Console                   16     88,220 K
msedge.exe                    8424 Console                   16     16,784 K
msedge.exe                   18832 Console                   16     46,936 K
msedge.exe                    6280 Console                   16     49,276 K
msedge.exe                   15876 Console                   16    165,944 K
msedge.exe                   21604 Console                   16     26,868 K
msedge.exe                   17480 Console                   16     18,284 K
msedge.exe                    7704 Console                   16     22,608 K
RuntimeBroker.exe             2384 Console                   16     21,760 K
msedge.exe                   17376 Console                   16    109,112 K
chrome.exe                   13600 Console                   16    288,476 K
chrome.exe                    5212 Console                   16     52,664 K
java.exe                      3316 Console                   16    126,536 K
WmiPrvSE.exe                 10900 Services                   0     11,200 K
tasklist.exe                 21144 Console                   16      9,336 K
conhost.exe                   4884 Console                   16     10,580 K
